model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,0,5.45,6.36,17.27,35.45,73.64,97.27,9.98,5.45,6.36,17.27,35.45,73.64,97.27,66.39,64.84,57.73
MLP-minilm,0,3.84,33.86,54.85,72.46,87.58,93.68,26.89,3.84,33.86,54.85,72.46,87.58,93.68,94.55,94.48,87.92
MLP-minilm,0,1.26,23.19,55.78,62.45,76.35,84.39,18.49,1.26,23.19,55.78,62.45,76.35,84.39,94.82,94.99,87.5
MLP-minilm,0,5.42,17.96,44.81,56.41,72.88,82.08,16.86,5.42,17.96,44.81,56.41,72.88,82.08,96.38,96.39,90.37
MLP-minilm,0,0.36,5.64,15.61,36.06,57.04,73.15,8.14,0.36,5.64,15.61,36.06,57.04,73.15,94.94,94.33,88.42
MLP-minilm,1,0.18,5.1,14.08,36.73,56.77,73.1,7.89,0.18,5.1,14.08,36.73,56.77,73.1,94.94,94.32,88.38
MLP-minilm,2,0.27,11.64,21.07,36.46,56.81,73.06,8.83,0.27,11.64,21.07,36.46,56.81,73.06,94.94,94.37,88.45
MLP-minilm,3,0.27,13.18,8.53,36.37,57.49,73.01,8.46,0.27,13.18,8.53,36.37,57.49,73.01,94.93,94.33,88.42
MLP-minilm,4,0.27,9.16,18.46,38.72,57.13,72.92,8.34,0.27,9.16,18.46,38.72,57.13,72.92,94.94,94.39,88.49
MLP-bert,0,1.76,3.07,4.69,10.92,22.34,38.4,3.62,1.76,3.07,4.69,10.92,22.34,38.4,86.86,84.69,78.79
MLP-bert,1,1.71,2.17,6.14,11.64,25.54,36.82,3.22,1.71,2.17,6.14,11.64,25.54,36.82,86.83,85.25,78.63
MLP-bert,2,0.09,3.7,9.84,11.82,24.37,38.67,4.39,0.09,3.7,9.84,11.82,24.37,38.67,87.16,85.59,78.72
MLP-bert,3,1.08,2.35,9.84,15.79,26.76,38.0,3.46,1.08,2.35,9.84,15.79,26.76,38.0,87.31,85.9,79.44
MLP-bert,4,0.9,2.12,6.14,11.28,23.96,36.1,3.42,0.9,2.12,6.14,11.28,23.96,36.1,86.87,85.08,79.74
MLP-e5-large,0,12.68,21.21,42.64,51.35,67.1,76.9,21.94,12.68,21.21,42.64,51.35,67.1,76.9,95.72,95.79,88.99
MLP-e5-large,1,12.18,19.45,40.75,50.45,65.43,77.17,22.03,12.18,19.45,40.75,50.45,65.43,77.17,95.74,95.79,89.17
MLP-e5-large,2,14.85,28.11,40.66,50.86,66.34,76.58,22.63,14.85,28.11,40.66,50.86,66.34,76.58,95.76,95.8,88.97
MLP-e5-large,3,13.4,23.33,39.12,51.62,67.33,76.9,21.73,13.4,23.33,39.12,51.62,67.33,76.9,95.71,95.81,88.76
MLP-e5-large,4,1.08,22.16,41.34,50.77,67.6,76.81,21.06,1.08,22.16,41.34,50.77,67.6,76.81,95.8,95.83,89.15
MLP-llama,0,0.68,6.77,22.65,35.74,62.91,76.71,7.74,0.68,6.77,22.65,35.74,62.91,76.71,96.36,95.63,90.03
MLP-llama,1,0.36,15.57,23.06,45.35,65.34,79.33,9.21,0.36,15.57,23.06,45.35,65.34,79.33,96.37,95.75,89.91
MLP-llama,2,0.9,4.02,16.52,39.44,61.6,76.9,7.78,0.9,4.02,16.52,39.44,61.6,76.9,96.19,95.45,90.03
MLP-llama,3,0.18,3.11,17.19,34.66,63.36,76.31,7.0,0.18,3.11,17.19,34.66,63.36,76.31,96.12,95.21,90.25
MLP-llama,4,1.62,7.76,22.29,41.74,63.31,76.94,8.58,1.62,7.76,22.29,41.74,63.31,76.94,96.22,95.44,90.07
MLP-minilm,0,5.87,20.49,30.23,40.84,61.1,76.13,17.25,5.87,20.49,30.23,40.84,61.1,76.13,95.81,95.49,89.53
MLP-minilm,1,9.7,15.75,29.65,39.94,56.72,75.63,16.46,9.7,15.75,29.65,39.94,56.72,75.63,95.76,95.35,89.58
