Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
arxiv_2023_runnbugbirh_NeoGNN_hyperou6lgc0b,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper0d9r15fw,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypere8p30wwf,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper1c50lwc9,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypersa9jrle7,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypergatjxvpo,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypersr5bzrym,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypercy3yz0tu,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperabulzacn,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper2s0idxhh,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.3,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypert6qk2lk0,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,128,32,0.0,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperxvb54zkk,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,128,32,0.0,256,0.001
Best,37.83,59.8,67.52,70.15,72.1,73.6,44.9,37.83,59.8,67.52,70.15,72.52,73.6,86.69,90.51,85.26,128,2,128,32,0.3,1024,0.01
