model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-bert,1,3.32,2.95,10.33,21.4,35.79,59.04,4.33,3.32,2.95,10.33,21.4,35.79,59.04,65.44,64.86,58.86
MLP-e5-large,2,1.85,31.37,28.41,46.49,57.2,84.13,29.46,1.85,31.37,28.41,36.53,70.85,54.24,83.15,81.18,71.4
MLP-bert,2,0.74,2.58,12.18,20.3,38.38,49.82,5.18,0.74,2.58,12.18,20.3,38.38,49.82,63.71,63.98,59.41
MLP-e5-large,3,9.23,15.87,25.46,45.02,64.94,77.86,14.99,9.23,15.87,25.46,45.02,64.58,60.15,79.87,82.28,71.22
MLP-bert,3,0.74,3.32,13.28,15.5,35.06,49.45,4.01,0.74,3.32,13.28,15.5,35.06,49.45,63.78,63.14,57.2
MLP-e5-large,4,7.75,15.87,21.03,36.16,64.94,77.12,12.79,7.75,11.81,33.58,44.65,52.4,69.37,80.26,81.17,73.99
MLP-bert,4,1.48,4.06,11.81,19.93,32.47,57.93,4.73,1.48,4.06,11.81,19.93,32.47,57.93,63.19,64.54,59.96
MLP-e5-large,0,5.9,19.93,28.04,40.22,49.82,69.37,23.03,5.9,19.19,30.26,41.33,69.37,80.07,83.0,82.96,76.01
MLP-bert,0,0.74,2.21,12.92,21.03,36.53,57.56,3.53,0.74,2.21,12.92,21.03,36.53,57.56,66.02,64.81,61.99
MLP-e5-large,1,15.87,21.77,25.83,35.79,66.42,58.3,24.58,15.87,18.08,40.22,46.86,58.3,63.47,82.0,82.21,72.51
MLP-bert,1,0.0,1.85,14.39,14.02,39.85,53.14,3.66,0.0,1.85,14.39,14.02,39.85,53.14,64.16,62.33,61.62
MLP-e5-large,2,13.65,16.97,29.52,43.17,59.78,60.52,15.72,13.65,19.93,33.95,40.96,60.52,67.16,81.51,80.34,72.32
MLP-e5-large,3,4.8,29.89,29.89,38.38,47.6,74.54,21.86,4.8,20.66,47.23,37.27,52.03,68.63,84.27,83.19,74.91
MLP-bert,2,0.0,0.74,11.81,23.99,33.95,53.87,3.99,0.0,0.74,11.81,23.99,33.95,53.87,67.13,63.09,61.81
MLP-e5-large,4,12.92,25.83,30.63,44.28,60.52,77.86,22.38,12.92,25.83,32.47,43.54,58.67,71.22,84.03,82.11,64.76
MLP-bert,3,0.37,0.74,17.71,21.77,33.95,59.78,3.13,0.37,0.74,17.71,21.77,33.95,55.35,64.13,61.82,59.96
MLP-bert,4,0.37,2.58,16.97,22.14,34.69,60.15,2.77,0.37,2.58,16.97,22.14,34.69,59.04,64.01,64.25,61.99
NeoGNN,0,29.89,66.05,77.49,80.44,84.87,92.25,42.45,29.89,66.05,77.49,80.44,84.87,92.25,91.03,92.96,82.29
NeoGNN,1,19.93,45.02,66.42,74.54,81.18,91.14,35.57,19.93,45.02,66.42,74.54,81.18,91.51,86.64,88.74,82.29
NeoGNN,2,4.43,54.24,71.22,73.06,84.5,92.99,47.37,4.43,54.24,71.22,73.06,84.5,92.99,90.05,90.41,81.36
NeoGNN,3,32.84,46.49,62.73,65.31,78.6,85.98,40.12,32.84,46.49,62.73,65.31,78.6,85.98,86.84,88.2,77.49
NeoGNN,4,40.96,46.86,59.04,64.94,74.91,87.82,46.38,40.96,46.86,59.04,64.94,74.91,85.61,84.75,87.98,76.01
NeoGNN,0,29.52,51.66,73.8,80.07,84.87,91.88,44.45,29.52,51.66,73.8,80.07,84.87,91.88,92.2,94.39,85.06
NeoGNN,1,9.23,53.51,68.63,78.6,80.07,91.14,40.77,9.23,53.51,68.63,78.6,80.07,91.14,92.03,93.31,84.32
NeoGNN,2,30.63,56.46,71.96,77.49,83.76,90.77,43.82,30.63,56.46,71.96,77.49,83.76,90.77,90.82,93.05,83.76
NeoGNN,3,15.87,47.6,63.1,71.22,78.23,86.72,32.9,15.87,47.6,63.1,71.22,78.23,86.72,90.33,91.22,80.26
NeoGNN,4,37.64,42.8,59.41,67.9,78.23,89.67,45.48,37.64,42.8,59.41,67.9,78.23,89.67,89.71,91.38,79.34
MLP-llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
MLP-llama,1,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
MLP-llama,2,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
MLP-llama,3,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
MLP-llama,4,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
MLP-llama,0,4.8,42.07,61.25,71.96,89.67,96.31,26.2,4.8,42.07,61.25,71.96,89.67,96.31,92.66,91.25,86.16
MLP-llama,1,14.02,41.7,58.67,69.0,89.67,95.57,31.05,14.02,41.7,58.67,69.0,89.67,95.57,92.78,92.43,85.42
MLP-llama,2,17.71,39.85,58.67,73.8,89.67,95.2,33.85,17.71,39.85,58.67,73.8,89.67,95.2,92.53,91.93,85.42
MLP-llama,3,14.02,48.34,44.28,69.0,88.19,95.57,35.04,14.02,48.34,44.28,69.0,88.19,95.57,92.51,92.36,85.79
MLP-llama,4,10.7,39.11,58.67,73.06,88.56,95.57,29.82,10.7,39.11,58.67,73.06,88.56,95.57,92.5,91.64,84.32
MLP-minilm,0,4.56,6.08,21.67,31.94,47.91,69.2,10.07,4.56,6.08,21.67,31.94,47.91,69.2,71.06,72.77,63.88
MLP-minilm,1,0.38,2.28,12.55,19.39,29.66,55.89,4.72,0.38,2.28,12.55,19.39,29.66,55.89,62.29,62.18,57.6
MLP-minilm,2,0.76,0.76,5.32,12.17,27.76,50.95,3.03,0.76,0.76,5.32,12.17,27.76,50.95,58.81,57.32,55.89
MLP-minilm,3,2.66,5.7,12.93,24.71,39.16,66.16,6.95,2.66,5.7,12.93,24.71,39.16,66.16,70.27,69.2,64.64
MLP-minilm,4,1.14,14.45,19.01,26.24,44.49,69.2,9.58,1.14,14.45,19.01,26.24,44.49,69.2,71.67,72.03,66.73
MLP-minilm,0,12.17,32.7,63.12,72.24,82.89,92.02,27.75,12.17,32.7,63.12,72.24,82.89,92.02,90.36,91.08,80.8
MLP-minilm,0,38.4,42.21,52.47,62.36,84.03,90.87,43.29,38.4,42.21,52.47,62.36,84.03,90.87,90.15,91.16,79.47
MLP-minilm,1,25.86,22.81,44.87,68.06,82.89,92.4,31.64,25.86,22.81,44.87,68.06,82.89,92.4,89.89,90.2,80.23
MLP-minilm,2,28.52,22.05,46.39,68.44,81.37,91.25,33.95,28.52,22.05,46.39,68.44,81.37,91.25,89.4,90.05,81.75
MLP-minilm,3,18.25,30.8,47.15,67.3,82.51,92.02,29.39,18.25,30.8,47.15,67.3,82.51,92.02,90.01,90.49,80.42
MLP-minilm,0,10.65,16.73,42.21,66.92,85.55,92.02,16.72,10.65,16.73,42.21,66.92,85.55,92.02,89.61,88.89,81.56
MLP-minilm,1,4.56,16.73,49.81,65.4,85.17,92.4,14.79,4.56,16.73,49.81,65.4,85.17,92.4,89.66,88.31,79.85
MLP-minilm,0,27.76,44.87,56.27,67.68,78.71,90.87,46.29,27.76,44.87,56.27,67.68,78.71,90.87,89.38,90.96,79.85
MLP-minilm,1,38.78,45.63,62.74,71.1,79.47,89.35,46.93,38.78,45.63,62.74,71.1,79.47,89.35,89.49,91.27,80.23
MLP-minilm,2,9.13,48.67,58.17,69.96,80.23,90.87,43.1,9.13,48.67,58.17,69.96,80.23,90.87,89.98,91.77,79.66
MLP-minilm,3,38.4,49.05,58.17,65.78,80.61,91.25,47.72,38.4,49.05,58.17,65.78,80.61,91.25,89.21,91.17,79.66
MLP-minilm,4,34.6,47.91,62.74,66.92,82.89,91.63,47.26,34.6,47.91,62.74,66.92,82.89,91.63,89.83,91.67,80.23
MLP-bert,0,0.0,8.75,19.39,28.52,47.53,62.36,5.99,0.0,8.75,19.39,28.52,47.53,62.36,69.31,68.5,62.55
MLP-bert,1,2.66,3.42,13.69,20.91,45.63,63.5,6.46,2.66,3.42,13.69,20.91,45.63,63.5,68.87,66.57,62.93
MLP-bert,2,0.38,2.28,15.97,24.71,49.43,63.5,4.67,0.38,2.28,15.97,24.71,49.43,63.5,68.0,67.08,63.31
MLP-bert,3,3.04,6.46,10.65,27.0,48.29,69.96,6.66,3.04,6.46,10.65,27.0,48.29,69.96,71.31,70.44,66.92
MLP-bert,4,3.8,4.56,13.69,26.24,45.25,65.4,6.86,3.8,4.56,13.69,26.24,45.25,65.4,69.64,68.84,64.07
MLP-minilm,0,6.84,25.1,35.74,57.79,85.93,92.78,21.09,6.84,25.1,35.74,57.79,85.93,92.78,89.99,89.17,84.03
