Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pwc_small_runzn7fjguh_NCN_hypergvdxrll7,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperbw3j75gi,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperwlofcb5g,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypercrajt55c,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperj70nwbvz,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypero0yapqb6,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hypercx7gjjvo,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperwhjyo08u,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hypera4j3gjyb,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperu8519xyj,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hypersw6lievk,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hypersmlznbrb,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyper05eepqxr,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hyper89kebcng,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyperpb7rckgv,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hypernkt4aytj,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyperq3qjni21,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperqfkizq1w,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperxmvjkobg,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hyper7dfjky9o,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hypers7v4ce5q,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hyperci5avdyi,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,512
