Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_runo8sjdsmj_NCN_hyperyduxlv2t,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperj7se9n6t,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
cora_runo8sjdsmj_NCN_hypern669u0j4,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperziuxwfsh,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperu5v07mvk,48.22,50.99,77.87,88.54,94.47,98.42,56.23,48.22,50.99,77.87,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperzddp29y5,48.22,50.99,77.87,88.54,94.47,98.42,56.23,48.22,50.99,77.87,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperk8x7vxsr,48.22,50.99,77.87,88.54,94.47,98.42,56.23,48.22,50.99,77.87,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperptc7ffpd,48.22,50.99,77.87,88.54,94.47,98.42,56.23,48.22,50.99,77.87,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyperaw7lzker,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperjjufqui6,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyperwcs8nz4c,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyper4t6qaofm,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hypersr858p3f,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyper2zn7p0y6,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyper9246dgzh,48.22,50.99,72.33,88.54,94.47,98.42,56.23,48.22,50.99,72.33,88.54,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperl0hsb0bd,48.22,50.99,72.33,88.54,94.47,97.63,56.23,48.22,50.99,72.33,88.54,94.47,97.63,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,256
cora_runo8sjdsmj_NCN_hypero60de3ul,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,256
cora_runo8sjdsmj_NCN_hyper5isy0um1,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyperkxz6ilzl,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hyper5ywqtbsi,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyper0wjqvj9m,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperxrvr0knu,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperr2ek0er1,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperaglk451o,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyper9ffvesxb,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyper4w9zmh5v,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hypercvuxugow,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperj8h1ckmb,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyperzcij3jko,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyper0r4hy7q1,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hypervl6q67mb,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperusp3fvj5,48.22,50.99,72.33,88.14,93.68,97.23,56.23,48.22,50.99,72.33,88.14,93.68,97.23,95.99,96.99,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyper995y0dj1,48.22,50.99,72.33,88.14,93.68,97.63,56.23,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperlzvn2btj,48.22,50.99,72.33,88.14,93.68,97.63,56.23,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyper91hir7b5,48.22,50.99,72.33,88.14,93.68,97.63,56.23,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperm9da4uzt,48.22,50.99,72.33,88.14,93.68,97.63,56.23,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperq2xhg2rz,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyper1m97109x,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperfsjajpz8,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperwnbzfnbs,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hypercfq4pras,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperfbl4g7p3,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyper2ncg6ubj,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperw655bpo2,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hypery2liwc5j,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperd1sret9r,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyper8bnjk5pu,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperva2m3kh9,48.22,50.99,72.33,88.14,93.68,97.63,55.18,48.22,50.99,72.33,88.14,93.68,97.63,95.87,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyper8t6w5taz,48.22,50.99,72.33,88.14,96.84,97.63,55.18,48.22,50.99,72.33,88.14,96.84,97.63,96.46,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperkvi8dkqr,48.22,50.99,72.33,88.14,96.84,97.63,55.18,48.22,50.99,72.33,88.14,96.84,97.63,96.46,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyperwzms3u2z,48.22,50.99,72.33,88.14,96.84,97.63,55.18,48.22,50.99,72.33,88.14,96.84,97.63,96.46,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hypers9rxdvgt,48.22,50.99,72.33,88.14,96.84,97.63,55.18,48.22,50.99,72.33,88.14,96.84,97.63,96.46,96.17,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hypergem3mtf7,48.22,50.99,72.33,85.77,96.84,97.63,55.18,48.22,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperyixbd9fh,48.22,50.99,72.33,85.77,96.84,97.63,55.18,48.22,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperrpgjd0hy,48.22,50.99,72.33,85.77,96.84,97.63,55.18,48.22,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperi9v2ksba,43.48,50.99,72.33,85.77,96.84,97.63,47.24,43.48,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyperf23v8ujf,43.48,50.99,72.33,85.77,96.84,97.63,47.24,43.48,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hypercvprmhnp,43.48,50.99,72.33,85.77,96.84,97.63,47.24,43.48,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyper5mh7z7g6,43.48,50.99,72.33,85.77,96.84,97.63,47.24,43.48,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyper0exzvser,43.48,50.99,72.33,85.77,96.84,97.63,47.24,43.48,50.99,72.33,85.77,96.84,97.63,96.4,96.82,90.12,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,2048
