Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-minilm_hyperksnppxjb,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.01,1024
cora_run<built-in function id>_MLP-minilm_hyperf0rknckz,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.001,64
cora_run<built-in function id>_MLP-minilm_hyperejk3oofh,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.001,128
cora_run<built-in function id>_MLP-minilm_hyperojuqrrj6,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.001,256
cora_run<built-in function id>_MLP-minilm_hyperchpbbgx5,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.001,512
cora_run<built-in function id>_MLP-minilm_hyperxzazaxdf,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.001,1024
cora_run<built-in function id>_MLP-minilm_hyper64qhyqvy,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.0001,64
cora_run<built-in function id>_MLP-minilm_hyperqkfcs0ov,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.0001,128
cora_run<built-in function id>_MLP-minilm_hyperfibqdi3z,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.0001,256
cora_run<built-in function id>_MLP-minilm_hyperdz8vsu0i,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.0001,512
cora_run<built-in function id>_MLP-minilm_hypery21hyz0l,29.52,51.29,66.05,70.85,86.72,94.83,39.91,29.52,51.29,66.05,70.85,86.72,94.83,92.14,92.8,81.73,0.0001,1024
Best,36.16,51.29,66.05,75.28,86.72,96.31,42.75,36.16,51.29,66.05,75.28,86.72,96.31,92.91,93.33,85.06,0.01,1024
