Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_runeojwwdl2_NCN_hyperteivur5l,22.22,33.59,59.38,77.67,87.34,93.79,31.34,22.22,33.59,59.38,77.67,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper29cnnry9,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hypermtg5l64v,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper7d9fq3qz,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperluwbapcu,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperw5b9yxls,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hypernl3ko67w,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hypersnk48oc9,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperxya99aph,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperhih72bpz,22.22,33.59,59.38,75.97,87.34,94.08,31.34,22.22,33.59,59.38,75.97,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperpepaumfg,22.22,33.59,59.38,75.97,87.34,94.08,31.34,22.22,33.59,59.38,75.97,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperjoh9gp1a,22.22,33.59,59.38,75.97,87.34,94.08,31.34,22.22,33.59,59.38,75.97,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hypercai05xtz,22.22,33.59,59.38,75.97,87.34,94.08,31.34,22.22,33.59,59.38,75.97,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperqxfy38kj,22.22,33.59,59.38,74.5,87.34,94.08,31.34,22.22,33.59,59.38,74.5,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper9i9lvr84,22.22,33.59,59.38,74.5,87.34,94.08,31.34,22.22,33.59,59.38,74.5,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hypervqjdczs6,22.22,33.59,59.38,76.55,87.34,94.08,31.34,22.22,33.59,59.38,76.55,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper2jxpghxr,22.22,33.59,59.38,76.55,87.34,94.08,31.34,22.22,33.59,59.38,76.55,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperijsj66vr,13.31,33.59,59.38,76.55,87.34,94.08,29.04,13.31,33.59,59.38,76.55,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperlk59e3s9,13.31,33.59,59.38,76.55,87.34,94.08,29.04,13.31,33.59,59.38,76.55,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperqoor1vae,13.31,33.59,59.38,76.55,87.34,94.08,29.04,13.31,33.59,59.38,76.55,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperztt7y72s,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperd0carxh2,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperv7uz0grz,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperyi9xb04a,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper4gn4p3n6,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper16waqtpk,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper571kn2f2,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper1bggkdiw,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperiluzn2zl,13.31,33.59,59.38,79.07,87.34,94.08,29.04,13.31,33.59,59.38,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hypertmc03t1c,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperwdgsn8yu,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperjgf0jtms,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper3rsal4jd,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper2te6ki1a,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hypermm2thygy,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.33,98.31,93.64,0.0,0.0,0.0,0.0,0.05,0.4,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper010lvitv,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper6rrn3ndp,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperuwk5rvc6,13.31,33.59,65.89,79.07,87.34,94.08,29.04,13.31,33.59,65.89,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperc8knml29,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper7vpkfhvy,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hypervp0jnzip,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper5hy9njyp,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hypergs9rnvix,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper1f2upjsk,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper13n219nq,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.31,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper284pjd4r,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperxvujw10d,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperop5xlvfu,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper2nfrg4a6,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperjzbr40py,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperan27lzpq,13.31,33.59,63.83,79.07,87.34,94.08,29.04,13.31,33.59,63.83,79.07,87.34,94.08,98.44,98.15,93.64,0.0,0.0,0.2,0.0,0.0,0.0,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper1qpdu4rs,13.31,33.59,63.83,78.19,87.69,94.08,29.04,13.31,33.59,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper5257c8aj,13.31,33.59,63.83,78.19,87.69,94.08,29.04,13.31,33.59,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperf1ddv89h,13.31,53.05,63.83,78.19,87.69,94.08,29.04,13.31,53.05,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperip47pulb,13.31,53.05,63.83,78.19,87.69,94.08,29.04,13.31,53.05,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperxifz1keu,13.31,53.05,63.83,78.19,87.69,94.08,29.04,13.31,53.05,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperw12ymvu2,13.31,53.05,63.83,78.19,87.69,94.08,29.04,13.31,53.05,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperfr6155td,13.31,53.05,63.83,78.19,87.69,94.08,29.04,13.31,53.05,63.83,78.19,87.69,94.08,98.37,98.11,93.64,0.0,0.0,0.2,0.0,0.0,0.4,0.0001,0.001,64,512
