Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
arxiv_2023_run4rkslmbm_SEAL,12.42,18.56,34.58,41.33,47.52,52.69,17.74,12.42,18.56,34.58,41.33,47.52,61.05,87.6,89.29,73.88,64,32,0.01
arxiv_2023_run4k8q9lr6_SEAL,12.42,18.56,34.58,41.33,47.52,52.69,17.74,12.42,18.56,34.58,41.33,47.52,61.05,87.6,89.29,73.88,64,64,0.01
arxiv_2023_runqr9glqmb_SEAL,12.42,14.3,34.58,41.33,47.52,52.69,17.74,12.42,14.3,34.58,41.33,47.52,61.05,87.6,89.29,73.88,64,128,0.01
arxiv_2023_runr8bu7h8v_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,64,256,0.01
arxiv_2023_runuknfkhmp_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,128,32,0.01
arxiv_2023_run8ezgdn9n_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,128,64,0.01
arxiv_2023_runizyva1h7_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,128,128,0.01
arxiv_2023_runwnxg3d4n_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,128,256,0.01
arxiv_2023_runv33xi9l1_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,256,32,0.01
arxiv_2023_run4bnvpm7d_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,256,64,0.01
arxiv_2023_runaudv1920_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,256,128,0.01
arxiv_2023_runov7kc2vx_SEAL,2.84,14.3,34.58,41.33,47.52,64.3,12.11,2.84,14.3,34.58,41.33,47.52,61.05,87.84,89.4,52.56,256,256,0.01
arxiv_2023_runnqhd9bkx_SEAL,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,38.79,76.13,73.54,73.88,32,32,0.01
arxiv_2023_run4xag40j8_SEAL,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,38.79,76.13,73.54,73.88,32,64,0.01
arxiv_2023_rungi7r8gkn_SEAL,5.48,20.44,34.89,40.47,45.64,52.23,15.29,5.48,20.44,34.89,40.47,45.64,58.87,83.87,87.05,73.88,32,128,0.01
arxiv_2023_run4r7omusi_SEAL,5.48,20.44,30.02,40.47,49.09,63.24,15.29,5.48,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,32,256,0.01
arxiv_2023_runy0ycf74a_SEAL,5.48,20.44,30.02,40.47,49.09,63.24,15.29,5.48,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,64,32,0.01
arxiv_2023_run2cyyos8x_SEAL,5.48,20.44,30.02,40.47,49.09,63.24,15.29,5.48,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,64,64,0.01
arxiv_2023_run4ea4xvkw_SEAL,5.48,20.44,30.02,40.47,49.09,63.24,15.29,5.48,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,64,128,0.01
arxiv_2023_run6lcuapp7_SEAL,4.36,20.44,30.02,40.47,49.09,63.24,15.29,4.36,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,64,256,0.01
arxiv_2023_run7cxbbr5v_SEAL,4.36,20.44,30.02,40.47,49.09,63.24,15.29,4.36,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,128,32,0.01
arxiv_2023_rungzx46o97_SEAL,4.36,20.44,30.02,40.47,49.09,63.24,15.29,4.36,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,128,64,0.01
arxiv_2023_runwzo9ypeo_SEAL,0.76,20.44,30.02,40.47,49.09,63.24,15.29,0.76,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,128,128,0.01
arxiv_2023_run7se78l0a_SEAL,4.21,20.44,30.02,40.47,49.09,63.24,12.78,4.21,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,128,256,0.01
arxiv_2023_runjh6z6lm5_SEAL,4.21,20.44,30.02,40.47,49.09,63.24,12.78,4.21,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,256,32,0.01
arxiv_2023_runtpiu2gji_SEAL,4.21,20.44,30.02,40.47,49.09,63.24,12.78,4.21,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,256,64,0.01
arxiv_2023_run5la1h0l5_SEAL,4.21,20.44,30.02,40.47,49.09,63.24,12.78,4.21,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,256,128,0.01
arxiv_2023_run0m8j6okx_SEAL,4.21,20.44,30.02,40.47,49.09,63.24,12.78,4.21,20.44,30.02,40.47,51.77,58.87,94.19,93.42,73.88,256,256,0.01
Best,22.82,27.94,39.6,48.43,63.64,72.36,27.32,22.82,27.94,39.6,48.43,63.64,72.36,96.02,95.24,82.33,256,256,0.01
