Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pubmed_run<built-in function id>_MLP-bert_hyper7nwmy590,0.45,2.17,6.32,9.16,18.73,22.83,2.61,0.45,2.17,6.32,9.16,18.73,22.83,68.93,68.66,62.97,0.01,512
pubmed_run<built-in function id>_MLP-bert_hyperdmxrrxeo,0.45,2.17,6.32,9.16,18.73,22.83,2.61,0.45,2.17,6.32,9.16,18.73,22.83,69.53,69.55,62.97,0.01,1024
pubmed_run<built-in function id>_MLP-bert_hyperds594zsp,2.21,3.84,8.89,14.85,24.59,33.71,4.78,2.21,3.84,8.89,14.85,24.59,33.71,80.42,80.19,72.32,0.001,64
pubmed_run<built-in function id>_MLP-bert_hyperya1n8qqw,2.21,2.21,8.89,14.85,24.59,33.71,4.78,2.21,2.21,8.89,14.85,24.59,33.71,80.42,80.19,71.91,0.001,128
pubmed_run<built-in function id>_MLP-bert_hyperxzxfm2dp,1.9,3.61,10.97,14.85,24.91,34.07,4.32,1.9,3.61,10.97,14.85,24.91,34.07,82.84,82.59,74.19,0.001,256
pubmed_run<built-in function id>_MLP-bert_hypereail9k32,2.84,3.61,10.97,15.39,25.5,34.25,5.7,2.84,3.61,10.97,15.39,25.5,34.25,83.6,83.15,75.25,0.001,512
pubmed_run<built-in function id>_MLP-bert_hypermhzg595x,2.84,3.61,10.97,15.39,25.5,34.25,5.7,2.84,3.61,10.97,15.39,25.5,34.25,83.6,83.15,75.25,0.001,1024
pubmed_run<built-in function id>_MLP-bert_hyper4lt1jno2,2.84,3.61,10.97,14.71,26.44,37.55,5.7,2.84,3.61,10.97,14.71,26.44,37.55,84.86,84.03,76.35,0.0001,64
pubmed_run<built-in function id>_MLP-bert_hyperkzbzent4,2.84,3.61,10.97,14.71,26.44,37.55,5.7,2.84,3.61,10.97,14.71,26.44,37.55,84.86,84.03,76.35,0.0001,128
pubmed_run<built-in function id>_MLP-bert_hyperrv98610o,2.84,3.61,10.97,14.71,26.44,37.55,5.7,2.84,3.61,10.97,14.71,26.44,37.55,84.86,84.03,76.35,0.0001,256
pubmed_run<built-in function id>_MLP-bert_hyperw5d3nn3w,2.84,3.61,10.97,14.71,26.44,37.55,5.7,2.84,3.61,10.97,14.71,26.44,37.55,84.86,84.03,76.35,0.0001,512
pubmed_run<built-in function id>_MLP-bert_hyperuu1chjlc,2.84,3.61,10.97,14.71,26.44,37.55,5.7,2.84,3.61,10.97,14.71,26.44,37.55,84.86,84.03,76.35,0.0001,1024
pubmed_run<built-in function id>_MLP-bert_hyperpae4e2sx,0.23,0.59,1.35,4.6,12.86,20.26,0.94,0.23,0.59,1.35,4.6,12.45,20.26,70.48,70.23,63.94,0.01,64
pubmed_run<built-in function id>_MLP-bert_hypersxyhoafa,0.41,1.35,7.36,8.84,16.88,24.23,2.72,0.41,1.35,7.36,8.84,16.88,24.23,70.48,70.23,63.94,0.01,128
pubmed_run<built-in function id>_MLP-bert_hyperf7svj8yb,0.41,1.35,7.36,8.84,16.88,24.23,2.72,0.41,1.35,7.36,8.84,16.88,24.23,70.48,70.23,63.94,0.01,256
pubmed_run<built-in function id>_MLP-bert_hypern2nzqi30,0.14,2.48,7.36,8.84,19.31,24.23,2.72,0.14,2.48,7.36,8.84,19.31,24.23,70.48,68.99,63.94,0.01,512
pubmed_run<built-in function id>_MLP-bert_hyper122k23oo,0.59,2.48,7.36,9.97,19.18,24.23,2.72,0.59,2.48,7.36,9.97,19.18,24.23,70.48,70.5,63.94,0.01,1024
pubmed_run<built-in function id>_MLP-bert_hyperq8atlyht,0.59,1.94,6.32,13.04,19.99,29.83,2.72,0.59,1.94,6.32,13.04,19.99,29.83,79.34,79.43,72.22,0.001,64
pubmed_run<built-in function id>_MLP-bert_hyperizd3io80,1.67,2.26,9.61,13.09,23.29,34.75,3.68,1.67,2.26,9.61,13.09,23.29,34.75,82.09,81.6,73.83,0.001,128
pubmed_run<built-in function id>_MLP-bert_hypertwdldxzy,1.22,3.47,9.79,15.52,25.86,33.17,4.34,1.22,3.47,9.79,15.52,25.86,33.17,83.95,83.38,76.08,0.001,256
pubmed_run<built-in function id>_MLP-bert_hypergjenv2be,1.22,3.47,9.79,15.84,25.54,35.2,4.34,1.22,3.47,9.79,15.84,25.54,35.2,83.95,83.38,75.86,0.001,512
pubmed_run<built-in function id>_MLP-bert_hyperelfesc29,1.22,3.47,9.79,15.84,24.05,35.11,4.34,1.22,3.47,9.79,15.84,24.05,35.11,83.95,83.38,74.86,0.001,1024
pubmed_run<built-in function id>_MLP-bert_hyperfdqsltst,1.22,3.47,9.79,16.34,28.2,36.51,4.34,1.22,3.47,9.79,16.34,28.2,36.51,84.89,84.43,76.92,0.0001,64
pubmed_run<built-in function id>_MLP-bert_hyperx22x7fd7,1.22,3.47,9.79,16.34,28.2,36.51,4.34,1.22,3.47,9.79,16.34,28.2,36.51,84.89,84.43,76.92,0.0001,128
pubmed_run<built-in function id>_MLP-bert_hypergeicree5,1.22,3.47,9.79,16.34,28.2,36.51,4.34,1.22,3.47,9.79,16.34,28.2,36.51,84.89,84.43,76.92,0.0001,256
pubmed_run<built-in function id>_MLP-bert_hyper6rc4dy6z,1.22,3.47,9.79,16.34,28.2,36.51,4.34,1.22,3.47,9.79,16.34,28.2,36.51,84.89,84.43,76.92,0.0001,512
pubmed_run<built-in function id>_MLP-bert_hyperqrno8a2z,1.22,3.47,9.79,16.34,28.2,36.51,4.34,1.22,3.47,9.79,16.34,28.2,36.51,84.89,84.43,76.92,0.0001,1024
Best,2.84,5.69,10.97,17.33,28.61,39.44,5.7,2.84,5.69,10.97,17.33,28.61,39.44,84.93,84.43,77.19,0.01,1024
