Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pwc_small_run8mljdctv_ELPH_hyperzfgg6xk2,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,2,0.5,0.5,0.1
pwc_small_run8mljdctv_ELPH_hyperbqyhsk0e,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,2,0.5,0.5,0.3
pwc_small_run8mljdctv_ELPH_hyper2eaumfu2,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,2,0.5,0.5,0.5
pwc_small_run8mljdctv_ELPH_hyperzy58lfxr,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,2,0.5,0.5,0.7
pwc_small_run8mljdctv_ELPH_hyperywexguse,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.1,0.1
pwc_small_run8mljdctv_ELPH_hyper1ryeizy0,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.1,0.3
pwc_small_run8mljdctv_ELPH_hyperebcvq5l3,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.1,0.5
pwc_small_run8mljdctv_ELPH_hyperxqyopw0i,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.1,0.7
pwc_small_run8mljdctv_ELPH_hyperxfsx1wsq,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.3,0.1
pwc_small_run8mljdctv_ELPH_hyperwssyba7p,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.3,0.3
pwc_small_run8mljdctv_ELPH_hyper8wt2qin4,25.0,70.0,100.0,100.0,100.0,100.0,43.69,25.0,70.0,100.0,100.0,100.0,100.0,92.0,89.25,82.5,128,512,0.01,3,0.1,0.3,0.5
