model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
BUDDY,4,0.0,0.0,40.0,85.0,100.0,100.0,9.87,0.0,0.0,40.0,85.0,100.0,100.0,38.0,44.04,42.5
BUDDY,0,25.0,30.0,80.0,100.0,100.0,100.0,38.14,25.0,30.0,80.0,100.0,100.0,100.0,73.0,75.93,67.5
BUDDY,1,10.0,10.0,20.0,95.0,100.0,100.0,16.18,10.0,10.0,20.0,95.0,100.0,100.0,27.75,46.4,37.5
BUDDY,2,5.0,10.0,30.0,95.0,100.0,100.0,15.05,5.0,10.0,30.0,95.0,100.0,100.0,42.5,50.19,42.5
BUDDY,3,0.0,5.0,30.0,100.0,100.0,100.0,10.63,0.0,5.0,30.0,100.0,100.0,100.0,49.75,47.47,60.0
BUDDY,4,0.0,0.0,40.0,85.0,100.0,100.0,9.87,0.0,0.0,40.0,85.0,100.0,100.0,38.0,44.04,42.5
BUDDY,0,5.0,50.0,60.0,85.0,100.0,100.0,25.72,5.0,50.0,60.0,85.0,100.0,100.0,77.25,70.53,62.5
BUDDY,1,15.0,50.0,80.0,100.0,100.0,100.0,39.68,15.0,50.0,80.0,100.0,100.0,100.0,78.0,80.23,70.0
BUDDY,2,15.0,25.0,50.0,95.0,100.0,100.0,24.2,15.0,25.0,50.0,95.0,100.0,100.0,58.75,67.41,55.0
BUDDY,3,0.0,5.0,80.0,95.0,100.0,100.0,12.44,0.0,5.0,80.0,95.0,100.0,100.0,70.0,69.36,60.0
BUDDY,4,10.0,45.0,85.0,100.0,100.0,100.0,33.08,10.0,45.0,85.0,100.0,100.0,100.0,77.75,79.74,70.0
SEAL,0,47.37,78.95,100.0,100.0,100.0,100.0,51.17,47.37,78.95,100.0,100.0,100.0,100.0,92.8,86.33,73.68
SEAL,1,63.16,57.89,100.0,100.0,100.0,100.0,78.38,63.16,57.89,100.0,100.0,100.0,100.0,87.26,87.07,63.16
SEAL,2,31.58,63.16,100.0,100.0,100.0,100.0,52.29,31.58,63.16,100.0,100.0,100.0,100.0,88.92,89.39,81.58
SEAL,3,31.58,68.42,100.0,100.0,100.0,100.0,63.33,31.58,68.42,100.0,100.0,100.0,100.0,92.24,95.72,81.58
SEAL,4,36.84,73.68,89.47,100.0,100.0,100.0,59.04,36.84,73.68,89.47,100.0,100.0,100.0,89.75,91.84,81.58
MLP-minilm,0,15.79,57.89,89.47,100.0,100.0,100.0,57.99,15.79,57.89,89.47,100.0,100.0,100.0,84.49,88.02,73.68
