Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_run<built-in function id>_NCN_hyperq1rzuw1r,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,2048
cora_run<built-in function id>_NCN_hyper6z8f2bgc,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperwyathmsp,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperc15qxs50,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperjtawl5g1,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hypermcking82,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperodas3y1i,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyper3r3kjmr5,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperrsage8kx,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hyperajb3dhc4,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hypervxubdb8n,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyperzqv045yu,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperzpscgfde,44.46,61.44,98.71,99.63,99.63,99.45,95.21,44.46,61.44,98.71,99.63,99.63,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,1024
cora_run<built-in function id>_NCN_hypernt1k99u4,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyper67z76sex,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,1024
cora_run<built-in function id>_NCN_hypercyhg7cn4,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyper78w6f58a,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperkk9fq8u2,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyper2bkoh2kb,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperkmfgmf82,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperq1imwnwn,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyperh2a5v4le,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperaq125ycz,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyperb2kg3fgv,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperbfadh1wn,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hypern28w9bae,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hyper3lxe0ee1,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyperqjk5gz36,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperxs8t54h6,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,1024
cora_run<built-in function id>_NCN_hyperg3enn9lc,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyperwr1fjq7e,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,1024
cora_run<built-in function id>_NCN_hyperuasr8nsw,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyper9qtd36ct,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperdja5xuxs,44.46,61.44,98.71,99.63,99.08,99.45,95.21,44.46,61.44,98.71,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperd9lbb32o,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,2048
cora_run<built-in function id>_NCN_hyper9xh22x09,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperbagdpc3a,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyper7cy6u7jg,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperlewx9aqc,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyperloa65cdf,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperm7uaap4y,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hyperld2n0yos,44.46,61.44,98.15,99.63,99.08,99.45,95.21,44.46,61.44,98.15,99.63,99.08,99.45,99.69,99.78,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperzui3qh8n,44.46,61.44,96.49,99.63,99.08,99.45,95.21,44.46,61.44,96.49,99.63,99.08,99.45,99.69,99.75,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyperqfw6ccwf,44.46,61.44,96.49,99.63,99.08,99.45,95.21,44.46,61.44,96.49,99.63,99.08,99.45,99.69,99.75,97.14,0.0,0.0,0.0,0.0,0.05,0.2,0.0001,0.0001,64,512
