Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-bert_hyper8ivsgvnd,0.74,6.64,11.44,19.93,32.47,54.61,5.64,0.74,6.64,11.44,19.93,32.47,54.61,62.36,64.72,59.59,0.0001,1024
cora_run<built-in function id>_MLP-bert_hypers82c5pz9,0.74,6.64,11.44,19.93,32.47,54.61,5.64,0.74,6.64,11.44,19.93,32.47,54.61,62.36,64.72,59.59,0.0001,2048
cora_run<built-in function id>_MLP-bert_hyper4z7npqdf,1.85,5.9,11.44,15.5,29.52,44.28,5.3,1.85,5.9,11.44,15.5,29.52,44.28,55.52,59.86,52.4,0.01,1024
cora_run<built-in function id>_MLP-bert_hyper11seyear,2.58,5.9,10.7,16.24,29.52,44.28,5.91,2.58,5.9,10.7,16.24,29.52,44.28,58.36,60.21,53.69,0.01,2048
cora_run<built-in function id>_MLP-bert_hypers7submsn,1.48,5.9,12.92,15.5,33.58,61.62,6.69,1.48,5.9,12.92,15.5,33.58,61.62,63.7,65.26,61.07,0.001,1024
cora_run<built-in function id>_MLP-bert_hyper3vd8h1ei,1.48,7.75,13.65,16.61,28.78,61.62,6.69,1.48,7.75,13.65,16.61,28.78,61.62,63.7,65.26,61.07,0.001,2048
cora_run<built-in function id>_MLP-bert_hyperltqx47cs,1.48,7.75,13.65,16.61,28.78,61.62,6.69,1.48,7.75,13.65,16.61,28.78,61.62,63.7,65.26,61.07,0.0001,1024
cora_run<built-in function id>_MLP-bert_hyperujm3cxi3,1.48,7.75,13.65,16.61,28.78,61.62,6.69,1.48,7.75,13.65,16.61,28.78,61.62,63.7,65.26,61.07,0.0001,2048
cora_run<built-in function id>_MLP-bert_hyperkbkffym9,2.58,4.06,11.44,15.13,26.2,46.86,5.54,2.58,4.06,11.44,15.13,26.2,46.86,56.13,58.77,54.24,0.01,1024
cora_run<built-in function id>_MLP-bert_hyperpgk2p1of,3.32,6.27,10.33,15.13,30.26,45.39,6.38,3.32,6.27,10.33,15.13,30.26,45.39,57.54,60.17,54.8,0.01,2048
cora_run<built-in function id>_MLP-bert_hypervxaa08hb,2.21,5.9,12.55,19.19,34.69,54.98,6.9,2.21,5.9,12.55,19.19,34.69,54.98,63.71,65.36,60.33,0.001,1024
cora_run<built-in function id>_MLP-bert_hyper9sub5jzp,2.21,5.9,12.55,19.19,34.69,54.98,6.9,2.21,5.9,12.55,19.19,34.69,54.98,63.71,65.36,60.33,0.001,2048
cora_run<built-in function id>_MLP-bert_hyperp3ihgi1k,2.21,5.9,12.55,19.19,34.69,54.98,6.9,2.21,5.9,12.55,19.19,34.69,54.98,63.71,65.36,60.33,0.0001,1024
cora_run<built-in function id>_MLP-bert_hyper8n9eauo2,2.21,5.9,12.55,19.19,34.69,54.98,6.9,2.21,5.9,12.55,19.19,34.69,54.98,63.71,65.36,60.33,0.0001,2048
Best,3.32,7.75,13.65,22.14,42.8,63.47,6.9,3.32,7.75,13.65,22.14,42.8,63.47,68.17,65.87,63.47,0.01,2048
