Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runkc3jiuz3_ELPH_hyper12bicb94,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypermtk170wa,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperan5q9ttf,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperrknqts2e,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypernw5kj8yz,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper85mibyb8,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperpxf10ray,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypercd5dxjp2,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper8fqaejhn,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper0ny7nq14,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypertsp1j2h1,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hypern33xtu85,30.98,44.26,56.77,65.0,71.18,73.75,36.21,30.98,44.26,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,3,0.5,0.3,
