Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
cora_runrdpq098m_BUDDY_hyperaz2aebnc,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.3,0.1
cora_runrdpq098m_BUDDY_hypermek1w9fd,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.3,0.3
cora_runrdpq098m_BUDDY_hyper4v2ixo4g,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.3,0.5
cora_runrdpq098m_BUDDY_hyperk64625ai,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.5,0.1
cora_runrdpq098m_BUDDY_hyperhr7gxqaa,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.5,0.3
cora_runrdpq098m_BUDDY_hypergqx074z8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.5,0.5
cora_runrdpq098m_BUDDY_hyperikd6inyf,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hyper45uljtgo,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.1,0.3
cora_runrdpq098m_BUDDY_hyper5l496tep,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.1,0.5
cora_runrdpq098m_BUDDY_hyperqj3fa9gt,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.3,0.1
cora_runrdpq098m_BUDDY_hyperx3wetv30,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.3,0.3
cora_runrdpq098m_BUDDY_hyperniwuzrfh,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.3,0.5
cora_runrdpq098m_BUDDY_hypergav5iaub,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.5,0.1
cora_runrdpq098m_BUDDY_hyperecekrltu,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.5,0.3
cora_runrdpq098m_BUDDY_hyperg2e3d1dn,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.1,0.5,0.5
cora_runrdpq098m_BUDDY_hyperq8enyphs,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.1,0.1
cora_runrdpq098m_BUDDY_hyperkizxfs9l,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.1,0.3
cora_runrdpq098m_BUDDY_hyper0frn3hm2,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.001,2,0.3,0.1,0.5
