Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_run<built-in function id>_NCN_hyper0305lk74,41.28,57.71,90.42,95.89,98.48,98.88,50.4,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperjh299vmh,41.28,57.71,90.42,95.89,98.48,98.88,50.4,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hypers2n3tznk,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperv8e2pe7l,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperb17n21fy,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperc9pyenis,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperfacertqc,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperoli0hch5,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperxls58bkb,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperofucoq7i,41.28,57.71,90.42,95.89,98.48,98.88,42.12,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,2048
