Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
arxiv_2023_run<built-in function id>_MLP-bert_hyperjj1mobu0,2.73,13.07,22.08,26.87,40.4,52.8,10.33,2.73,13.07,22.08,26.87,40.4,52.8,83.43,85.35,76.99,0.01,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperh29dd4vu,4.12,13.07,22.08,26.87,40.4,52.8,10.33,4.12,13.07,16.37,26.87,37.36,48.22,85.18,84.85,78.15,0.01,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperipkdjapr,4.12,13.07,22.08,27.02,40.4,52.8,10.33,4.12,13.07,16.37,27.02,37.36,48.22,85.18,84.85,78.15,0.01,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperrml9cvfw,4.12,13.07,22.08,27.02,40.4,52.8,10.33,4.12,13.07,16.37,27.02,37.36,48.22,85.18,86.02,78.15,0.01,512
arxiv_2023_run<built-in function id>_MLP-bert_hypernj38jy4y,2.93,7.98,22.08,27.02,40.4,52.8,7.67,2.93,7.98,16.37,27.02,37.36,48.22,85.18,86.02,78.15,0.01,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyperqwm90q11,2.93,12.97,23.01,30.57,44.36,56.2,11.78,2.93,12.97,23.01,30.57,44.36,56.2,87.82,88.6,79.72,0.001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperjnudcwm9,7.72,12.04,24.09,31.55,45.39,57.49,12.14,7.72,12.04,24.09,31.55,45.39,57.49,88.15,89.04,80.62,0.001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperszgnk9xl,7.72,16.01,22.54,28.87,45.86,56.46,12.14,7.72,16.01,22.54,28.87,45.86,56.46,89.14,89.79,81.14,0.001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper2kkazzxy,6.9,12.35,22.23,28.87,45.86,56.46,11.71,6.9,12.35,22.23,28.87,45.86,56.46,88.85,90.04,80.98,0.001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyper0yiu8fdy,7.67,12.51,22.23,28.87,45.86,56.46,11.88,7.67,12.51,22.23,28.87,45.86,56.46,88.85,90.04,80.98,0.001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyperlmt961gi,7.77,12.51,22.23,28.87,45.86,61.4,12.97,7.77,12.51,22.23,28.87,45.86,61.4,89.75,90.43,81.45,0.0001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyper415s2s39,7.77,10.55,22.23,28.87,45.86,61.4,12.97,7.77,10.55,22.23,28.87,45.86,61.4,89.75,90.43,81.45,0.0001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperhzbra4d9,7.77,10.55,22.23,28.87,45.86,61.4,12.97,7.77,10.55,22.23,28.87,45.86,61.4,89.75,90.43,81.45,0.0001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper0lounz06,7.77,10.55,22.23,28.87,45.86,61.4,12.97,7.77,10.55,22.23,28.87,45.86,61.4,89.75,90.43,81.45,0.0001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyperu5dbygdl,7.77,10.55,22.23,28.87,45.86,61.4,12.97,7.77,10.55,22.23,28.87,45.86,61.4,89.75,90.43,81.45,0.0001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyper8t106rk4,2.16,12.97,22.85,27.95,40.71,51.88,9.32,2.16,12.97,22.85,27.95,40.71,51.88,83.09,85.46,76.66,0.01,64
arxiv_2023_run<built-in function id>_MLP-bert_hyper05s1h53u,3.6,12.97,22.85,27.43,40.71,51.88,7.52,3.6,12.97,22.85,27.43,40.71,51.88,82.92,85.66,76.79,0.01,128
arxiv_2023_run<built-in function id>_MLP-bert_hyper0ng19hvn,3.6,12.97,22.85,26.71,40.71,51.88,7.52,3.6,12.97,22.85,26.71,40.71,51.88,84.19,85.66,76.79,0.01,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper4edgjt7j,3.6,12.97,22.85,28.05,40.71,51.88,7.52,3.6,12.97,22.85,28.05,40.71,51.88,84.19,85.66,76.79,0.01,512
arxiv_2023_run<built-in function id>_MLP-bert_hyper20trhm2m,3.6,12.97,22.85,28.05,40.71,51.88,7.52,3.6,12.97,22.85,28.05,40.71,51.88,84.19,85.66,76.79,0.01,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyper4wom13zg,4.53,9.42,20.43,32.99,44.36,55.02,10.7,4.53,9.42,20.43,32.99,44.36,55.02,88.01,88.68,80.21,0.001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperqy62xbr4,4.68,9.88,20.43,32.99,44.36,56.15,10.52,4.68,9.88,20.43,32.99,44.36,56.15,88.01,88.68,80.21,0.001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyper045v8608,8.59,9.88,24.91,32.32,46.32,60.06,11.95,8.59,9.88,24.91,32.32,46.32,60.06,89.17,89.77,80.98,0.001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper69jg4kua,8.59,9.88,24.91,32.32,46.32,59.8,11.95,8.59,9.88,24.91,32.32,46.32,59.8,89.27,89.9,80.98,0.001,512
arxiv_2023_run<built-in function id>_MLP-bert_hypergy6hu47g,8.59,9.88,24.91,32.32,46.32,59.8,11.95,8.59,9.88,24.91,32.32,46.32,59.8,89.27,89.9,80.98,0.001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hypergbfmr51u,8.59,9.88,23.11,32.01,50.18,61.61,11.95,8.59,9.88,23.11,32.01,50.18,61.61,89.67,90.33,81.73,0.0001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperpruvddp6,8.59,9.88,23.11,32.01,50.18,61.61,11.95,8.59,9.88,23.11,32.01,50.18,61.61,89.67,90.33,81.73,0.0001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperoetbgj9t,8.59,9.88,23.11,32.01,50.18,61.61,11.95,8.59,9.88,23.11,32.01,50.18,61.61,89.67,90.33,81.73,0.0001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper7pd0onzf,8.59,9.88,23.11,32.01,50.18,61.61,11.95,8.59,9.88,23.11,32.01,50.18,61.61,89.67,90.33,81.73,0.0001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyperp5molexs,8.59,9.88,23.11,32.01,50.18,61.61,11.95,8.59,9.88,23.11,32.01,50.18,61.61,89.67,90.33,81.73,0.0001,1024
Best,12.45,17.4,24.91,34.64,51.57,61.86,16.07,12.45,17.4,24.91,34.64,51.57,61.86,89.84,90.59,81.93,0.01,1024
