Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
cora_runuol7yvm3_NeoGNN_hyper2k761r4x,45.2,58.86,77.12,91.51,92.99,95.76,66.04,45.2,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,64,0.5,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hypero5y2wuih,33.58,58.86,77.12,91.51,92.99,95.76,43.23,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,64,0.5,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyper3v0vdrwx,33.58,58.86,77.12,91.51,92.99,95.76,43.23,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyper71hhs3qk,33.58,58.86,77.12,91.51,92.99,95.76,43.23,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyper0s67gmkn,33.58,58.86,77.12,91.51,92.99,95.76,43.23,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperrw3k9dm1,33.58,58.86,77.12,91.51,92.99,95.76,43.23,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperdohxbyb6,33.58,58.86,77.12,91.51,92.99,95.76,48.45,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperi0zoql16,33.58,58.86,77.12,91.51,92.99,95.76,48.45,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hypernbdot9fz,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperabxcdaxh,33.58,58.86,77.12,91.51,92.99,95.76,46.19,33.58,58.86,77.12,91.51,92.99,95.76,96.95,97.72,94.19,64,2,64,128,0.0,1024,8192,0.001
